state,enrollment_sep2025,covered,adoption_quarter,att_rx_avg,att_gross_avg,att_net_avg,att_rx_et9,att_gross_et9,att_net_et9,implied_rx_monthly_avg,implied_gross_monthly_avg,implied_net_monthly_avg,implied_rx_monthly_et9,implied_gross_monthly_et9,implied_net_monthly_et9,implied_gross_annual_avg,implied_net_annual_avg,implied_gross_annual_et9,implied_net_annual_et9
AK,202632,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,714.532646350213,881002.296142966,673399.111998894,1663.60646008834,1999862.19306297,1523076.88951784,10572027.5537156,8080789.34398673,23998346.3167556,18276922.674214
AL,756883,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,2668.96449212113,3290771.7483496,2515320.08807621,6214.00098864466,7470003.2387386,5689086.64657571,39489260.9801952,30183841.0569146,89640038.8648631,68269039.7589085
AR,732961,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,2584.60935588406,3186763.80820031,2435821.02792166,6017.60163544165,7233906.75159712,5509277.70548523,38241165.6984037,29229852.3350599,86806881.0191654,66111332.4658228
AZ,1628913,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,5743.96697739875,7082178.99056974,5413303.76112092,13373.3575630793,16076441.6503256,12243672.0031149,84986147.8868369,64959645.1334511,192917299.803907,146924064.037378
CA,11978256,1,2023-Q1,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,42238.4172210722,52078995.6166265,39806876.2766761,98341.348169055,118218550.442327,90034174.7124263,624947947.399518,477682515.320113,1418622605.30793,1080410096.54912
CO,1057804,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,3730.08947964705,4599114.41859733,3515359.24369733,8684.55904253667,10439921.7659145,7950949.633027,55189373.023168,42184310.924368,125279061.190974,95411395.5963239
CT,889736,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,3137.43840377163,3868389.29172617,2956825.34009163,7304.72263696337,8781186.52634862,6687671.93420606,46420671.5007141,35481904.0810996,105374238.316183,80252063.2104727
DE,230166,1,2023-Q1,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,811.624625329874,1000714.47004443,764901.792472746,1889.66029300749,2271607.05874951,1730035.31205714,12008573.6405331,9178821.50967295,27259284.7049942,20760423.7446857
FL,3476089,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,12257.5855349543,15113320.6531905,11551952.5338008,28538.6519219177,34307014.542728,26127910.8028701,181359847.838287,138623430.40561,411684174.512736,313534929.634441
GA,1711876,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,6036.51589336046,7442885.06609043,5689011.49992212,14054.4828678106,16895239.1113539,12867260.7155841,89314620.7930852,68268137.9990655,202742869.336247,154407128.587009
HI,366401,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1292.02434045641,1593036.254437,1217646.31467639,3008.14812360747,3616168.75617111,2754041.2935579,19116435.053244,14611755.7761167,43394025.0740534,33048495.5226948
IA,586619,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,2068.56975437895,2550498.8647454,1949488.30234948,4816.13544756289,5789594.73248256,4409302.78461479,30605986.3769448,23393859.6281937,69475136.7897907,52911633.4153775
ID,295732,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1042.82723642091,1285781.96456113,982794.75201181,2427.95642176382,2918706.05866249,2222860.03538873,15429383.5747336,11793537.0241417,35024472.7039499,26674320.4246648
IL,2773141,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,9778.80975084031,12057047.2014697,9215872.5514614,22767.4566817474,27369318.9719927,20844224.8434324,144684566.417636,110590470.617537,328431827.663913,250130698.121188
IN,1472252,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,5191.53992288678,6401049.15561745,4892678.30075504,12087.1725002862,14530286.9905116,11066134.6517155,76812589.8674094,58712139.6090605,174363443.886139,132793615.820586
KS,333192,1,2024-Q2,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1174.92084913893,1448650.34671951,1107284.12553366,2735.50260398039,3288414.87934303,2504426.91663818,17383804.1606341,13287409.5064039,39460978.5521164,30053122.9996581
KY,1227929,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,4329.99406757161,5338782.95876533,4080729.09608399,10081.2833951687,12118958.4215011,9229688.70597314,64065395.505184,48968749.1530078,145427501.058014,110756264.471678
LA,1310796,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,4622.20446279597,5699071.64601354,4356117.801787,10761.6205409706,12936808.4173189,9852555.83754009,68388859.7521625,52273413.621444,155241701.007827,118230670.050481
MA,1411397,1,2024-Q1,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,4976.9495117294,6136464.12101393,4690441.22585724,11587.553628989,13929682.871918,10608720.0078705,73637569.4521671,56285294.7102868,167156194.463016,127304640.094446
MD,1218641,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,4297.24218623351,5298400.64340262,4049862.64383436,10005.0290187558,12027291.1623853,9159875.75367615,63580807.7208315,48598351.7260123,144327493.948623,109918509.044114
ME,315226,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1111.56810364795,1370537.87064216,1047578.41051247,2588.00194435138,3111100.71296966,2369386.05736088,16446454.447706,12570940.9261497,37333208.5556359,28432632.6883306
MI,2174909,1,2022-Q1,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,7669.28956601571,9456057.39913736,7227791.21401557,17855.9786337019,21465110.5573275,16347633.3190431,113472688.789648,86733494.5681868,257581326.68793,196171599.828518
MN,1185328,1,2023-Q2,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,4179.77196411724,5153562.5650566,3939154.83550192,9731.52966028858,11698510.8649125,8909479.66411228,61842750.7806793,47269858.0260231,140382130.37895,106913755.969347
MO,1133687,1,2024-Q4,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,3997.67249122959,4929038.10902242,3767538.29150722,9307.55762622969,11188843.6676684,8521321.75395203,59148457.308269,45210459.4980866,134266124.012021,102255861.047424
MS,512797,1,2023-Q4,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1808.25435987628,2229535.97879518,1704158.4963663,4210.05765088398,5061013.72446658,3854422.10368589,26754431.7455421,20449901.9563956,60732164.6935989,46253065.2442306
