metric,value
n_rows_before_ce,1300
n_rows_after_ce,1300
n_states,50
n_quarters,26
min_year_quarter,8077
max_year_quarter,8102
na_spend_online_glp1,0
na_spend_glp1_compounding,0
na_spend_glp1_prescribing,0
na_spend_manufacturer_direct,0
na_spend_weight_loss_platform,0
na_trans_online_glp1,0
na_trans_glp1_compounding,0
na_trans_glp1_prescribing,0
na_trans_manufacturer_direct,0
na_trans_weight_loss_platform,0
total_spend_online_glp1,1053838554.77
total_spend_glp1_compounding,855989958.310001
total_spend_glp1_prescribing,197848596.46
total_spend_manufacturer_direct,62862047.09
total_spend_weight_loss_platform,2137152088.84
total_trans_online_glp1,11298481.76
total_trans_glp1_compounding,7114434.1
total_trans_glp1_prescribing,4184047.65999999
total_trans_manufacturer_direct,139014.37
total_trans_weight_loss_platform,27211387.45
