event_time,estimate,se,ci_lower,ci_upper,weight,outcome_group,outcome_type
-4,-29.8157308730126,9.90016447650649,-49.2196966879882,-10.4117650580371,uw,obesity,spending
-3,-23.1695258542065,8.98979016666893,-40.78919080945,-5.54986089896312,uw,obesity,spending
-2,-19.7700780152618,8.43425744534368,-36.3009188444742,-3.23923718604938,uw,obesity,spending
-1,0,,,,uw,obesity,spending
0,63.4547355894011,13.776897624204,36.4525124272658,90.4569587515365,uw,obesity,spending
1,128.432148504901,26.2157416497169,77.0502390434495,179.814057966353,uw,obesity,spending
2,125.751348445421,23.8221826261847,79.0607284649631,172.441968425879,uw,obesity,spending
3,145.015326823903,25.440977321861,95.1519275415554,194.878726106251,uw,obesity,spending
4,227.583506773101,36.6419667170308,155.766571685006,299.400441861197,uw,obesity,spending
5,371.966366976574,60.615698975587,253.161780086702,490.770953866446,uw,obesity,spending
6,538.197503679309,88.2276505223874,365.274486214843,711.120521143774,uw,obesity,spending
-4,10.5396153627398,23.1619334873224,-34.8569400847243,55.9361708102039,uw,diab_cardiac,spending
-3,18.2185713564286,17.6198872706334,-16.3157731056685,52.7529158185257,uw,diab_cardiac,spending
-2,13.8444582196771,15.3175335825133,-16.1773559340317,43.8662723733859,uw,diab_cardiac,spending
-1,0,,,,uw,diab_cardiac,spending
0,1.95549750977079,17.3045415210875,-31.9607806405386,35.8717756600802,uw,diab_cardiac,spending
1,-25.3311454502427,30.2621805205926,-84.6439293642538,33.9816384637684,uw,diab_cardiac,spending
2,-22.8204867376753,48.4286084257345,-117.738815073508,72.0978415981572,uw,diab_cardiac,spending
3,-22.905978211018,39.2182719383132,-99.7723787460098,53.9604223239737,uw,diab_cardiac,spending
4,-17.8087981833896,53.4411963743441,-122.551618367836,86.9340220010572,uw,diab_cardiac,spending
5,-54.0642234849029,72.9110411851904,-196.967238283193,88.8387913133868,uw,diab_cardiac,spending
6,58.4816697880051,73.5751830261842,-85.7230390992586,202.686378675269,uw,diab_cardiac,spending
-4,-19.2761155102862,21.9668826489219,-62.3304143547909,23.7781833342184,uw,all,spending
-3,-4.95095449778637,15.058691874359,-34.4654482258159,24.5635392302432,uw,all,spending
-2,-5.92561979559559,17.1350393236745,-39.5096797436751,27.658440152484,uw,all,spending
-1,0,,,,uw,all,spending
0,65.41023309916,27.5254354483284,11.4613709616542,119.359095236666,uw,all,spending
1,103.101003054647,47.7905314004248,9.43328270778358,196.76872340151,uw,all,spending
2,102.930861707735,61.6245259759903,-17.8509897695589,223.712713185029,uw,all,spending
3,122.109348612873,43.4763256913288,36.897316077735,207.321381148011,uw,all,spending
4,209.774708589702,56.7548917680084,98.5371647779365,321.012252401467,uw,all,spending
5,317.902143491659,97.9220193155519,125.978512339741,509.825774643576,uw,all,spending
6,596.679173467302,126.706026353169,348.339925190908,845.018421743697,uw,all,spending
-4,-0.0248546561375203,0.00813780493350367,-0.0408044607203998,-0.00890485155464069,uw,obesity,rx
-3,-0.0196048691530811,0.00734636345409311,-0.0340034769404449,-0.00520626136571736,uw,obesity,rx
-2,-0.0162831905157125,0.00685009958978316,-0.0297091390022001,-0.00285724202922489,uw,obesity,rx
-1,0,,,,uw,obesity,rx
0,0.050382312222063,0.0108274210599041,0.0291609568992005,0.0716036675449256,uw,obesity,rx
1,0.102447800152567,0.0203408087957463,0.0625805474964888,0.142315052808645,uw,obesity,rx
2,0.0994785655913046,0.0183737682544643,0.0634666415522692,0.13549048963034,uw,obesity,rx
3,0.116986528862133,0.0195193932724948,0.0787292210479695,0.155243836676296,uw,obesity,rx
4,0.187755333756392,0.0309678963080761,0.127059372315592,0.248451295197192,uw,obesity,rx
5,0.305577697618114,0.051323361031836,0.204985758430169,0.406169636806059,uw,obesity,rx
6,0.442398763040248,0.0732976286648132,0.298738050705024,0.586059475375473,uw,obesity,rx
-4,-0.0105253202398288,0.0249466374442907,-0.0594198311660169,0.0383691906863593,uw,diab_cardiac,rx
-3,-0.00469183624691283,0.0202283520390753,-0.0443386777100978,0.0349550052162721,uw,diab_cardiac,rx
-2,0.00059371893748672,0.0232208402648542,-0.044918291672385,0.0461057295473584,uw,diab_cardiac,rx
-1,0,,,,uw,diab_cardiac,rx
0,0.00479527261233415,0.0161719167638972,-0.0269011018058839,0.0364916470305522,uw,diab_cardiac,rx
1,-0.0194622403244606,0.0292518759753702,-0.0767948637164186,0.0378703830674973,uw,diab_cardiac,rx
2,-0.0159360683410696,0.0462658256761255,-0.106615420381284,0.0747432836991449,uw,diab_cardiac,rx
3,-0.0202659320564766,0.0379004083521882,-0.0945493674261266,0.0540175033131733,uw,diab_cardiac,rx
4,-0.0289710021425949,0.0518860176311859,-0.130665728000929,0.0727237237157396,uw,diab_cardiac,rx
5,-0.0697087246729593,0.0747781593075746,-0.216271223746004,0.0768537744000854,uw,diab_cardiac,rx
6,0.0371273220320525,0.0700796618544986,-0.10022629125151,0.174480935315615,uw,diab_cardiac,rx
-4,-0.0353799763773468,0.0262909450445122,-0.0869092817841125,0.0161493290294189,uw,all,rx
-3,-0.0242967053999887,0.0204256083618604,-0.0643301621515552,0.0157367513515777,uw,all,rx
-2,-0.0156894715782192,0.0252222108429213,-0.0651240964408206,0.0337451532843822,uw,all,rx
-1,0,,,,uw,all,rx
0,0.0551775848344001,0.0240697367617207,0.00800176766406785,0.102353402004732,uw,all,rx
1,0.0829855598281126,0.042421836310381,-0.000159711498287612,0.166130831154513,uw,all,rx
2,0.0835424972502405,0.0561993056484076,-0.0266061177767968,0.193691112277278,uw,all,rx
3,0.0967205968056621,0.0391665331151713,0.0199556025006311,0.173485591110693,uw,all,rx
4,0.158784331613806,0.0528915919642596,0.0551187162788695,0.262449946948743,uw,all,rx
5,0.23586897294516,0.0929216391588551,0.0537459068093772,0.417992039080943,uw,all,rx
6,0.479526085072308,0.109781001546433,0.264359275854564,0.694692894290052,uw,all,rx
-4,-23.5354390286311,7.59536021243414,-38.4220714946105,-8.64880656265172,uw,obesity,net_spending
-3,-18.1398105456183,6.86116054025762,-31.5874380966706,-4.69218299456597,uw,obesity,net_spending
-2,-15.270910292243,6.43210717807836,-27.8776087059782,-2.66421187850785,uw,obesity,net_spending
-1,0,,,,uw,obesity,net_spending
0,48.3579688803679,10.4934493000757,27.7911861786225,68.9247515821134,uw,obesity,net_spending
1,97.8846549685156,19.9825380246226,58.7196001205532,137.049709816478,uw,obesity,net_spending
2,95.8281559724868,18.2759809550322,60.0078915184837,131.64842042649,uw,obesity,net_spending
