event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
-4,uw,obesity,spending,22.127461562423,0.414859710025332
-3,uw,obesity,spending,27.531700407804,0.667722425804191
-2,uw,obesity,spending,31.8848499874947,0.736990502606383
-1,uw,obesity,spending,36.5321192091535,0.652632720155588
0,uw,obesity,spending,97.4858783950071,1.3456183615849
1,uw,obesity,spending,180.220429434035,1.85236510514984
2,uw,obesity,spending,178.684777597262,1.88607440213839
3,uw,obesity,spending,163.303750833548,1.37452868357961
4,uw,obesity,spending,209.886384852204,1.01671018430089
5,uw,obesity,spending,347.252587797347,1.54630159895692
6,uw,obesity,spending,492.935213192884,2.72514781971502
7,uw,obesity,spending,558.999917300553,4.72613564019521
8,uw,obesity,spending,724.537337165021,8.04827786514992
9,uw,obesity,spending,867.319125609539,15.5159867589915
-4,uw,diab_cardiac,spending,340.922511880042,317.58035352477
-3,uw,diab_cardiac,spending,396.833139961549,361.284775573271
-2,uw,diab_cardiac,spending,449.856806157659,407.549573755809
-1,uw,diab_cardiac,spending,470.782875807658,427.435534610662
0,uw,diab_cardiac,spending,551.257979738387,493.506897398765
1,uw,diab_cardiac,spending,610.308917642992,574.913610297237
2,uw,diab_cardiac,spending,689.558045323979,622.424439848254
3,uw,diab_cardiac,spending,688.436150051349,641.910561330953
4,uw,diab_cardiac,spending,749.636958297209,650.414335108755
5,uw,diab_cardiac,spending,794.939336987529,791.10495029084
6,uw,diab_cardiac,spending,893.959213774023,780.810492697521
7,uw,diab_cardiac,spending,886.739784954771,814.794884560775
8,uw,diab_cardiac,spending,926.055711830597,792.153074091145
9,uw,diab_cardiac,spending,852.61158096969,859.579837115382
-4,uw,all,spending,363.049973442465,317.995213234795
-3,uw,all,spending,424.364840369353,361.952497999075
-2,uw,all,spending,481.741656145154,408.286564258415
-1,uw,all,spending,507.314995016811,428.088167330818
0,uw,all,spending,648.743858133394,494.852515760349
1,uw,all,spending,790.529347077027,576.765975402387
2,uw,all,spending,868.242822921241,624.310514250393
3,uw,all,spending,851.739900884897,643.285090014533
4,uw,all,spending,959.523343149412,651.431045293055
5,uw,all,spending,1142.19192478488,792.651251889797
6,uw,all,spending,1386.89442696691,783.535640517236
7,uw,all,spending,1445.73970225532,819.52102020097
8,uw,all,spending,1650.59304899562,800.201351956295
9,uw,all,spending,1719.93070657923,875.095823874373
-4,uw,obesity,rx,0.0178850787377728,0.000323414196312334
-3,uw,obesity,rx,0.0222318753900263,0.000531561478104353
-2,uw,obesity,rx,0.0259961804748621,0.000629535214689388
-1,uw,obesity,rx,0.0298370869814103,0.000528665182142492
0,uw,obesity,rx,0.0778049246529826,0.00105062787978014
1,uw,obesity,rx,0.143900796892279,0.00134973141148087
2,uw,obesity,rx,0.143106352966197,0.00141608840954845
3,uw,obesity,rx,0.130998758169237,0.00104980990922641
4,uw,obesity,rx,0.171871136317092,0.00079862599515821
5,uw,obesity,rx,0.282185159069861,0.00123621145400873
6,uw,obesity,rx,0.402823121389781,0.00225849910685474
7,uw,obesity,rx,0.460934197346094,0.00386584963172751
8,uw,obesity,rx,0.602791952568046,0.00668009332059593
9,uw,obesity,rx,0.727670686572344,0.013638807681602
-4,uw,diab_cardiac,rx,0.383713149279471,0.343362815349258
-3,uw,diab_cardiac,rx,0.43642987764586,0.388650161482491
-2,uw,diab_cardiac,rx,0.490073267409642,0.433358292353873
-1,uw,diab_cardiac,rx,0.514573553386111,0.453869652219974
0,uw,diab_cardiac,rx,0.587315092216662,0.512783568808929
1,uw,diab_cardiac,rx,0.651482574707445,0.592610832665548
2,uw,diab_cardiac,rx,0.731102411796802,0.637897056652545
3,uw,diab_cardiac,rx,0.726300861737112,0.657373254903937
4,uw,diab_cardiac,rx,0.775309079983773,0.668778747220992
5,uw,diab_cardiac,rx,0.821109623532543,0.816138481391067
